FlyBase,GenetID,symbol,Affymetrix IDs (note: // was used to separate Affy probes which owned by one gene),chrom,star_chrom,end_chrom,bam_testis_RPKM,wt_testis_RPKM,bam_ovary_RPKM,wt_ovary_RPKM,male_carcass_RPKM,female_carcass_RPKM
FBgn0036979,CG13247,CG13247,1632886_at,chr3L,20363666,20364799,0,0,1.32492,0.40719,1.22903,2.04948
FBgn0036984,CG13248,CG13248,1632238_at,chr3L,20400201,20403669,1.03643,0.462344,6.51578,0.572143,7.51928,6.44339
FBgn0037013,CG13250,CG13250,1632953_at,chr3L,20526809,20528435,0.529788,0.351472,0.530708,1.06017,1.4222,1.42295
FBgn0037014,CG13251,CG13251,1632965_at,chr3L,20630330,20633895,0,0.0622903,0.0313519,0,0.850673,0.661987
FBgn0037016,CG13252,CG13252,1629062_at,chr3L,20723692,20737629,42.4702,8.57229,35.3998,41.5319,19.9248,17.5948
FBgn0037015,CG13253,CG13253,1625883_at,chr3L,20705934,20712298,0,0,0.112187,0,5.33635,4.43679
FBgn0040636,CG13255,CG13255,1635919_at,chr3L,20831000,20831929,8.35584,57.9872,6.27776,2.53016,35.6386,34.9932
FBgn0032582,CG13258,CG13258,1632864_at,chr2L,16292127,16292970,0.332517,0.165449,1.16583,0.332704,0.334736,0
FBgn0032589,CG13260,CG13260,1637287_at,chr2L,16558129,16560051,0.903918,4.28593,6.07209,30.4844,2.94396,2.19575
FBgn0086673,CG13272,CG13272,1640494_at,chr2L,16807318,16816072,0.030641,0.304918,0.0613884,0.0613164,0.185073,0.0617238
FBgn0032599,CG13277,CG13277,1640520_at,chr2L,16742326,16743089,53.6626,5.91744,49.5425,75.3149,7.1541,9.49518
FBgn0032602,CG13278,CG13278,1636792_at,chr2L,16758350,16760138,0,0,0.232612,0,1.09087,0.545726
FBgn0032609,CG13280,CG13280,1640795_at,chr2L,16802021,16821093,0.062768,164.026,0,0,0.442308,0.505764
FBgn0032612,CG13282,CG13282,1633300_at,chr2L,16832193,16833900,12.6494,10.6996,34.5646,4.28913,2.75899,1.91108
FBgn0032613,CG13283,CG13283,1628716_at,chr2L,16835260,16837218,0.313167,0.519403,7.68592,0.156671,5.35937,3.4171
FBgn0032614,CG13284,CG13284,1629716_a_at,chr2L,16843192,16848713,2.19358,0.563328,6.52128,0.920403,60.4766,45.8984
FBgn0035611,CG13285,CG13285,1639440_at,chr3L,5527925,5528757,28.0885,2.21569,0.171569,0.342735,8.10348,9.14283
FBgn0035643,CG13287,CG13287,1625662_at,chr3L,5875507,5876892,1.18036,0.440481,0.591207,0.295257,0.222795,0.0743046
FBgn0035648,CG13288,CG13288,1640392_at,chr3L,5900505,5910650,0.120648,1.08054,0,0,0.182179,0.303794
FBgn0035677,CG13293,CG13293,1633296_at,chr3L,6080369,6083134,0.812791,2.4265,2.38833,0.379515,4.85474,3.54749
FBgn0035674,CG13295,CG13295,1627779_at,chr3L,6066589,6068340,19.2734,2.42858,20.8113,16.905,33.3866,32.9632
FBgn0035687,CG13296,CG13296,1637502_at,chr3L,6156257,6157782,0.365698,2.83855,0.2198,0.0731805,0.147255,0.147334
FBgn0035685,CG13297,CG13297,1634777_at,chr3L,6149695,6150473,0,0,0,0,0,0.350293
FBgn0035692,CG13298,CG13298,1630953_at,chr3L,6185218,6186286,125.592,74.9229,67.1866,108.886,55.0512,50.886
FBgn0035694,CG13299,CG13299,1627182_at,chr3L,6225023,6225424,0,0,0,15.0894,0.303632,0.911383
FBgn0035699,CG13300,CG13300,1632935_at,chr3L,6324130,6325996,1.75234,0.435952,5.09061,3.50665,3.35166,1.94147
FBgn0035921,CG13305,CG13305,1627825_at,chr3L,8638012,8639918,0,0,0.0900058,0,3.16573,2.71493
FBgn0040828,CG13306,CG13306,1623658_at,chr3L,8742237,8742826,1.15102,0,7.49463,1.15167,7.14533,5.98982
FBgn0035932,CG13308,CG13308,1632988_at,chr3L,8801644,8802192,0,0.185339,0,0,1.6874,1.6883
FBgn0035933,CG13309,CG13309,1629955_at,chr3L,8803511,8804368,0.779536,0.25858,0.130148,0.779972,94.5609,101.023
FBgn0035928,CG13310,CG13310,1638137_at,chr3L,8791944,8793572,0,0.168742,0,0,0,0
FBgn0035929,CG13311,CG13311,1634064_at,chr3L,8794638,8795262,0,0,0,0,14.8598,23.5708
FBgn0035931,CG13312,CG13312,1629935_at,chr3L,8798928,8800298,0,0,0.0995399,0,0.200061,1.10092
FBgn0035941,CG13313,CG13313,1641268_at,chr3L,8951476,8953995,1.05069,0.330182,0.886331,0.553307,0.389681,0.389888
FBgn0035949,CG13314,CG13314,1637490_at,chr3L,8975823,8976203,4.29393,0.80119,4.83905,2.95373,14.8589,14.5965
FBgn0040827,CG13315,CG13315,1634002_at,chr3L,9089976,9090596,176.178,34.2447,60.8622,4.4481,350.729,260.699
FBgn0037627,CG13318,CG13318,1629491_at,chr3R,4596969,4598408,0.808293,0.804357,0.323879,0.323498,2.44106,9.68803
FBgn0033781,CG13319,CG13319,1627545_at,chr2R,8811409,8812169,40.2486,13.8417,24.7543,56.2611,29.4941,25.4857
FBgn0035514,CG1332,CG1332,1631596_at,chr3L,4216636,4224004,26.0863,10.5797,19.0232,19.1777,11.5668,10.7336
FBgn0033787,CG13321,CG13321,1631154_at,chr2R,8841061,8842680,93.2951,24.6234,25.0762,0,109.91,144.879
FBgn0033784,CG13322,CG13322,1635322_a_at,chr2R,8821732,8824032,33.6295,137.345,21.5661,29.4666,17.0737,17.866
FBgn0033788,CG13323,CG13323,1624587_at,chr2R,8934238,8934793,1.83901,1.09803,11.0532,0,52.3913,84.0931
FBgn0033789,CG13324,CG13324,1639268_at,chr2R,8936647,8937123,0,0.639944,0.644192,0,3.23684,7.12483
FBgn0033792,CG13325,CG13325,1625235_at,chr2R,9003810,9013285,0,0.0694073,0.0698681,0,5.12551,4.56624
FBgn0033794,CG13326,CG13326,1640628_at,chr2R,9017016,9019960,0.11042,155.777,0.258094,0,0.0741047,0.0370721
FBgn0033848,CG13330,CG13330,1632645_at,chr2R,9402764,9404951,0.0963251,135.349,0.192985,0.0963791,17.1633,13.5342
FBgn0033850,CG13331,CG13331,1624676_a_at,chr2R,9409269,9410806,0,0.0786938,0.316865,0.0791233,1.11449,0.955789
FBgn0033851,CG13332,CG13332,1624394_at,chr2R,9412984,9413409,0.240021,0,0.480876,0,0.483246,1.20876
FBgn0033855,CG13333,CG13333,1639427_at,chr2R,9443398,9444852,0.210823,0.139864,0.140793,0.492196,0.141486,0.283124
FBgn0033856,CG13334,CG13334,1636339_at,chr2R,9446050,9447610,0,84.2168,0.131232,0.065539,0,0
FBgn0033857,CG13335,CG13335,1637275_a_at,chr2R,9458889,9461734,1.10261,0.402323,67.6708,1.14001,65.9693,122.014
FBgn0033863,CG13337,CG13337,1634826_at,chr2R,9552619,9555184,0.0796953,150.366,0.279418,0,0.0401136,0
FBgn0033871,CG13339,CG13339,1626051_at,chr2R,9712397,9713082,5.97665,6.10828,12.7831,9.53567,9.75653,8.46016
FBgn0033868,CG13340,CG13340,1635139_at,chr2R,9665629,9667750,0,1144.82,0.0482689,0,0.0485068,0.19413
FBgn0033882,CG13343,CG13343,1639153_at,chr2R,9746462,9747942,53.0922,30.2986,31.3988,63.2075,13.6222,11.4738
FBgn0033884,CG13344,CG13344,1635377_at,chr2R,9749517,9751663,18.0945,50.2469,14.2273,41.5193,7.68297,8.6034
FBgn0033886,CG13349,CG13349,1629266_s_at,chr2R,9846033,9847909,151.885,204.591,84.2296,162.547,183.601,174.336
FBgn0033890,CG13350,CG13350,1623830_at,chr2R,9867870,9870979,50.1382,25.4869,33.1651,44.3437,1.91962,2.74851
FBgn0033896,CG13353,CG13353,1630354_at,chr2R,9977881,9979232,1.56704,111.497,2.35463,0.391978,0,0.920694
FBgn0026874,CG13358,CG13358,1638666_at,chrX,697954,699552,1.23078,0.565284,0.758716,0.378913,0.190614,0.286073
FBgn0025616,CG13359,CG13359,1634629_at,chrX,695701,697503,1.5879,71.7281,0.624899,0.340454,0,0
FBgn0025620,CG13360,CG13360,1641711_at,chrX,681882,684122,4.25773,7.58865,2.35537,0.190751,32.9457,32.8993
FBgn0029532,CG13361,CG13361,1638223_at,chrX,646044,647686,0.13067,0,0.261793,0.326857,0,0.0658059
FBgn0029531,CG13362,CG13362,1634220_at,chrX,643268,645330,0.726889,0.180837,2.54853,2.06067,0.73174,0.915162
FBgn0026879,CG13364,CG13364,1626443_at,chrX,518791,519234,115.03,25.7028,170.178,199.284,139.118,171.644
FBgn0029529,CG13365,CG13365,1640958_at,chrX,514748,515241,29.3914,3.91351,29.6498,24.2305,27.9207,45.6558
FBgn0025633,CG13366,CG13366,1637148_at,chrX,504579,514228,65.2952,8.52759,39.5046,56.3257,19.339,19.632
FBgn0025634,CG13367,CG13367,1632266_at,chrX,538794,540419,22.2969,11.6193,29.2081,35.3782,12.1525,12.4248
FBgn0025640,CG13369,CG13369,1624518_at,chrX,517497,518798,49.867,11.392,52.9074,79.7452,37.7153,43.4132
FBgn0029522,CG13373,CG13373,1636730_at,chrX,371180,372216,22.6439,16.5153,29.8686,42.0765,7.50394,9.49117
FBgn0040370,CG13375,CG13375,1629828_at,chrX,180616,184374,1.77631,4.64012,1.7794,3.11029,3.79986,2.90732
FBgn0029518,CG13376,CG13376,#N/A,chrX,160278,160859,0.527057,6.99321,0.351981,0.703137,0.88429,1.94648
FBgn0040369,CG13377,CG13377,1640159_at,chrX,152366,158028,6.69754,2.03121,29.5203,15.7002,42.3155,51.0755
FBgn0036804,CG13379,CG13379,1636656_at,chr3L,18674140,18674890,33.9015,26.1491,14.457,30.3786,19.4624,15.4959
FBgn0036799,CG13380,CG13380,1623242_at//1626491_at,chr3L,18593248,18611031,8.53323,10.3911,4.94887,4.68093,2.93874,0
FBgn0032036,CG13384,CG13384,1631237_s_at,chr2L,8384467,8388803,51.8331,13.186,47.6287,23.751,41.7646,32.4731
FBgn0032039,CG13385,CG13385,1630967_at,chr2L,8396713,8397886,0,170.047,0.0872458,0,0,0
FBgn0032040,CG13386,CG13386,1627268_at,chr2L,8399044,8399972,12.6765,0.238014,0.239594,0,0.240775,0.120452
FBgn0032031,CG13390,CG13390,1624077_at,chr2L,8375501,8376777,37.6574,8.31822,27.2348,32.6096,13.5145,14.117
FBgn0032033,CG13392,CG13392,1636190_at,chr2L,8381971,8382707,13.0855,8.17643,13.5654,35.1678,11.641,9.80821
FBgn0032035,CG13393,CG13393,1631595_at,chr2L,8383611,8384132,65.6196,37.6206,40.6174,85.2553,33.9161,25.056
FBgn0032037,CG13394,CG13394,1627978_at,chr2L,8388727,8392398,0.279656,147.6,0.140071,0.0349765,0.140761,0.0704179
FBgn0014417,CG13397,CG13397,1634468_at,chr2L,8409051,8411868,5.48763,5.83239,3.66477,34.2142,13.0778,9.43758
FBgn0032042,CG13398,CG13398,1631712_at,chr2L,8412411,8415245,10.7319,4.64012,10.454,16.8104,6.74288,8.98287
FBgn0039797,CG1340,CG1340,1637664_at,chr3R,26551809,26553739,0.655793,317.87,0.602187,0.546801,0,0.0550434
FBgn0030538,CG13402,CG13402,1639781_at,chrX,14065657,14066503,0.603596,11.4125,0.120929,0,0,0
FBgn0030544,CG13403,CG13403,1638477_at,chrX,14085389,14086019,0,0,15.4606,0.214479,1.29473,27.4198
FBgn0030559,CG13404,CG13404,1634502_at,chrX,14159601,14160371,1.34538,1.19007,0.449239,0,5.56793,3.91468
FBgn0035097,CG13405,CG13405,1640314_at,chr3L,74470,75266,2.69414,104.815,5.26912,0.385093,0,0
FBgn0038931,CG13407,CG13407,1627758_at,chr3R,17929136,17931312,0,0.152436,0.076724,0,0,0
FBgn0038929,CG13408,CG13408,1624264_at,chr3R,17906184,17908860,0.528419,0.525846,0.661671,0,2.79271,2.39503
FBgn0038926,CG13409,CG13409,1639758_at,chr3R,17855170,17857632,1.90585,2.13364,1.71825,0.476731,8.20189,6.1427
FBgn0039795,CG1342,CG1342,1629926_at,chr3R,26516366,26518490,0.451985,0.349832,0.352154,0.351741,4.14557,3.89486
FBgn0038900,CG13420,CG13420,1635601_at,chr3R,17594410,17595023,0,0,0,0,7.01805,13.2634
FBgn0034511,CG13422,CG13422,1627271_at,chr2R,16413832,16414331,1.84048,3.05253,11.4718,2.25074,70.6109,44.696
FBgn0034513,CG13423,CG13423,1623431_at,chr2R,16424083,16425767,19.518,19.1723,0.882988,0,0.126763,0.253661
FBgn0034520,CG13424,CG13424,1637413_at,chr2R,16444364,16447458,11.2334,4.22307,7.65199,7.19342,16.7364,6.38635
FBgn0034510,CG13426,CG13426,1634384_at,chr2R,16400199,16400674,0,8.70081,0,0,0.244493,0
FBgn0034514,CG13427,CG13427,1627159_at,chr2R,16426382,16426819,0.700336,0,0.233851,0,0.705009,0
FBgn0034515,CG13428,CG13428,1623759_at,chr2R,16427016,16427953,0.211696,0.210665,0.212063,0,93.1284,54.5848
FBgn0034518,CG13430,CG13430,1637174_s_at,chr2R,16437838,16439591,5.09124,1.26661,7.89298,9.64239,11.4707,10.9274
FBgn0034523,CG13434,CG13434,1629879_at,chr2R,16473724,16474712,39.5551,23.8042,26.1548,18.3025,2.67559,2.04713
FBgn0034532,CG13436,CG13436,1639620_at,chr2R,16523897,16525928,2.82692,147.186,1.60292,2.13472,0.375858,0.483503
FBgn0034541,CG13437,CG13437,#N/A,chr2R,16549254,16549932,0.908881,0.226114,0.455229,0.227348,3.88852,3.43287
FBgn0034545,CG13438,CG13438,1631570_at,chr2R,16580375,16581114,0,0,0,0,0,0
FBgn0027507,CG1344,CG1344,1627040_at,chr2R,1541144,1543453,34.2793,9.32794,40.644,41.865,15.4534,17.3316
FBgn0034546,CG13442,CG13442,1628958_at,chr2R,16615329,16618115,0,222.883,0.0625315,0,0,0
FBgn0034548,CG13443,CG13443,1624000_at,chr2R,16661234,16662618,0,0,0,0,0,0
FBgn0036532,CG13445,CG13445,1630352_at,chr3L,15802598,15802983,0.631167,0,0.948394,0,0.317689,0
FBgn0036524,CG13446,CG13446,1630116_at,chr3L,15640053,15640717,1.05195,0.209364,0,0,5.08303,4.66193
FBgn0036520,CG13449,CG13449,1637521_at,chr3L,15603727,15605928,0.171847,36.5392,0.0573818,0,0.230659,0.461563
FBgn0036503,CG13454,CG13454,1629829_at,chr3L,15509788,15510126,0,0,0,0.301789,0,0
FBgn0036498,CG13455,CG13455,1623128_at,chr3L,15486842,15491156,0,99.7822,0,0.212107,0.213403,0.142344
FBgn0036482,CG13457,CG13457,1633230_a_at,chr3L,15121034,15124478,0.155394,77.4731,0.0933981,0.186577,0,0
FBgn0036479,CG13458,CG13458,1635298_at,chr3L,15106657,15109473,0.186927,7.06863,0.561755,0.0935159,11.6198,10.967
FBgn0036471,CG13460,CG13460,1640205_at,chr3L,15054128,15054805,9.1994,0,0,0,0,0
FBgn0036468,CG13461,CG13461,1635959_at,chr3L,15045162,15045575,0,1.47465,0,0,1.74039,0.497518
FBgn0040807,CG13462,CG13462,#N/A,chr3L,15041820,15041999,0.568051,1.13057,0,0,2.28736,6.86575
FBgn0036470,CG13463,CG13463,1625953_at,chr3L,15047871,15048671,0,20.7059,0,0,1.79905,1.54286
FBgn0040809,CG13465,CG13465,#N/A,chr3L,14937156,14937392,0,0,0,0,0,0
FBgn0036456,CG13466,CG13466,1634073_at,chr3L,14914801,14936006,1.89128,0.8066,1.08261,0.480594,4.11,2.60036
FBgn0036455,CG13467,CG13467,#N/A,chr3L,14897214,14898237,0,2.85497,0,0,1.15523,1.5026
FBgn0037363,CG1347,CG1347,1640321_at,chr3R,1495435,1504523,65.3815,13.3088,45.4589,37.881,33.0187,32.9164
FBgn0036443,CG13471,CG13471,1629780_at,chr3L,14725688,14726617,0,109.082,0.330408,0,0,0.221476
FBgn0036450,CG13472,CG13472,1624483_at,chr3L,14779893,14782765,49.1121,18.6017,41.4048,43.3311,13.7917,15.0464
FBgn0036442,CG13473,CG13473,1639158_at,chr3L,14721940,14722359,0,120.648,0.243873,0,0,0.490411
FBgn0036439,CG13474,CG13474,1636786_at,chr3L,14689650,14690205,0,7.50323,0,0,0,0.185227
FBgn0036441,CG13476,CG13476,1627168_at,chr3L,14698582,14699256,0,118.936,0,0,0.152491,0
FBgn0036438,CG13477,CG13477,1622975_at,chr3L,14684468,14684970,0,178.823,0,0,0,0.204744
FBgn0040811,CG13479,CG13479,1636671_at,chr3L,14560881,14561230,0,115.996,0,0,0,0
FBgn0036421,CG13481,CG13481,1640316_at,chr3L,14362089,14362807,0.14221,90.1467,0,0,0,0
FBgn0036419,CG13482,CG13482,1636798_at,chr3L,14322537,14322845,2.64723,0.329292,2.32034,0,45.6362,32.329
FBgn0036406,CG13484,CG13484,1632847_at,chr3L,14045641,14046096,17.2657,15.1734,11.231,21.5382,8.35189,6.54956
FBgn0034670,CG13488,CG13488,1624171_at,chr2R,17839196,17840068,5.6237,11.1926,0.640166,0,1.15798,1.02986
FBgn0034662,CG13492,CG13492,1634373_a_at,chr2R,17708349,17717715,0.0455808,0.306172,0.673484,0.0228032,38.6695,43.6369
FBgn0034671,CG13494,CG13494,1632450_at,chr2R,17841743,17842350,0,47.3611,0,0,0.169295,0
FBgn0034683,CG13500,CG13500,1626284_at,chr2R,17943972,17945186,0,0.0837458,0,0,0.169434,0.169525
FBgn0034684,CG13501,CG13501,1640967_at,chr2R,17946700,17948165,0.0823262,90.8551,0,0,0.165751,0.0829197
FBgn0034692,CG13502,CG13502,1625040_a_at,chr2R,17973174,17976084,0.211915,0.790812,0.0530708,0.212034,0.586656,0.586968
FBgn0034723,CG13506,CG13506,1641120_at,chr2R,18270641,18281527,41.9218,10.9964,138.298,29.4723,54.9941,42.0153
FBgn0034758,CG13510,CG13510,1638487_at,chr2R,18545410,18546718,36.7603,15.8314,8.81921,3.55445,94.3797,77.473
FBgn0034759,CG13511,CG13511,1637388_at,chr2R,18547217,18547643,2.77098,20.6811,1.94305,0.831759,6.13683,8.65196
FBgn0034760,CG13512,CG13512,1633645_at,chr2R,18547988,18550372,66.1114,17.1991,93.4673,105.088,6.93509,8.03439
FBgn0040658,CG13516,CG13516,1638764_at,chr2R,18557105,18557770,15.529,21.8755,4.24252,8.07151,18.8809,11.7815
FBgn0034774,CG13526,CG13526,1624508_at,chr2R,18642745,18643401,0,50.953,0.311801,0,0,0
FBgn0034776,CG13527,CG13527,1640751_at,chr2R,18651236,18652369,0,141.841,0.102427,0,0.102931,0
FBgn0034777,CG13530,CG13530,1625138_at,chr2R,18664062,18666498,0.710063,0.47107,9.95814,1.1841,1.4296,2.14555
FBgn0034786,CG13531,CG13531,1628662_at,chr2R,18735355,18741220,18.1037,9.44898,14.6562,17.1342,18.3175,19.5925
FBgn0034788,CG13532,CG13532,1633162_at,chr2R,18758815,18761956,0.224477,0.502613,0.787032,0.617657,4.97144,3.27838
FBgn0034820,CG13538,CG13538,1631767_at,chr2R,18974785,18975688,0.113107,45.1352,0,0,0.113862,0
FBgn0034833,CG13539,CG13539,1632583_at,chr2R,19071931,19072811,2.43727,143.56,1.16262,0.116125,0.350504,0.233794
FBgn0030151,CG1354,CG1354,1623809_s_at,chrX,9672779,9675953,91.0535,24.343,140.999,172.82,45.798,55.5995
FBgn0034839,CG13540,CG13540,1640601_at,chr2R,19158107,19158590,84.9259,50.0347,57.7737,1.05688,0,0
FBgn0034841,CG13541,CG13541,1636525_at,chr2R,19171827,19172345,0,128.414,0,0,0,0
FBgn0034809,CG13542,CG13542,1629682_at,chr2R,18896677,18897252,0,1.80891,0,0.454695,0,0
FBgn0034826,CG13544,CG13544,1640852_at,chr2R,19026599,19028107,0,131.086,0,0,0,0
FBgn0034828,CG13545,CG13545,1635838_at,chr2R,19045236,19045636,1.77825,2.35945,0.296889,0.29654,1.19341,0.895532
FBgn0034853,CG13550,CG13550,1631109_at,chr2R,19254412,19258984,29.9321,13.4512,14.1302,32.5541,1.98296,2.80498
FBgn0040660,CG13551,CG13551,1626735_at//1629019_s_at,chr2R,19265383,19270944,136.374,59.9848,150.708,112.151,122.74,137.859
FBgn0034867,CG13557,CG13557,1624926_at,chr2R,19363336,19363932,20.3187,1.95675,0,0,10.5571,0
FBgn0034869,CG13558,CG13558,1637364_at,chr2R,19387255,19387842,0,20.2464,0,0,0.175053,0
FBgn0034870,CG13559,CG13559,1632341_at,chr2R,19390853,19391197,1.48187,0.589862,2.07822,0,8.35385,5.07468
FBgn0034899,CG13560,CG13560,1640579_at,chr2R,19635096,19635741,0.316561,0.15751,0,0,0,0
FBgn0034906,CG13561,CG13561,1625667_at,chr2R,19691838,19693772,0,16.7658,0,0,0,0.390099
FBgn0034928,CG13562,CG13562,1636933_at,chr2R,19791500,19792616,1.5148,2.36881,1.73421,1.29913,2.28736,1.30776
FBgn0034966,CG13563,CG13563,1633939_at,chr2R,19942829,19945128,2.44937,0.143379,1.49142,2.35463,1.88554,1.11258
FBgn0034973,CG13564,CG13564,1628485_at,chr2R,19968448,19968915,0,53.702,0,0,1.09969,3.30084
FBgn0034935,CG13565,CG13565,1628567_at,chr2R,19834482,19836137,0.17301,1.89385,0.346621,0,14.4557,8.53862
FBgn0034942,CG13566,CG13566,1624144_at,chr2R,19849178,19850034,1.96633,0.163063,0.32829,0.65581,2.63927,2.97076
FBgn0034963,CG13567,CG13567,1628924_a_at//1637979_at,chr2R,19924241,19925322,15.105,19.1309,11.0045,23.5685,8.93206,10.1071
FBgn0034965,CG13568,CG13568,1635204_at,chr2R,19940438,19944637,4.90966,0.212424,1.33646,5.98033,0.429776,0.376254
FBgn0034979,CG13569,CG13569,1633941_a_at,chr2R,20010690,20014153,0.0998852,104.07,0.0667057,0,0.134069,0.234746
FBgn0034996,CG13575,CG13575,1634585_at,chr2R,20142912,20144683,0.457052,0.0649752,0.588659,0.261319,0.59156,0.920694
FBgn0034994,CG13576,CG13576,1632293_at,chr2R,20136578,20138826,0.380285,0.141912,1.61902,0.523185,0.143558,0.239392
FBgn0034998,CG13577,CG13577,1628038_at,chr2R,20155203,20156481,84.3415,70.8042,2.96308,0,0,0.0805209
FBgn0035000,CG13578,CG13578,1628533_at,chr2R,20265354,20266263,0.239179,0,0.239594,0.119657,2.76891,2.52949
FBgn0035010,CG13579,CG13579,1626573_at,chr2R,20342831,20376970,0,0.244203,0,0,1.48221,1.02986
FBgn0033196,CG1358,CG1358,1623777_s_at,chr2R,3482770,3502040,7.87555,2.19759,4.15783,25.1307,24.5075,15.7039
FBgn0035014,CG13581,CG13581,1628680_at,chr2R,20394398,20395236,0,167.241,0,0,0.122683,0
FBgn0035015,CG13582,CG13582,1625039_at,chr2R,20403248,20408670,0,0.60994,0.0438564,0,0.0440725,0
FBgn0035020,CG13585,CG13585,1624841_s_at,chr2R,20419122,20420912,48.9628,84.7568,43.7424,26.604,109.242,84.9147
FBgn0035031,CG13587,CG13587,1624424_at,chr2R,20485518,20486614,0.838967,0.417441,0.420212,1.0493,0.527853,0.950642
FBgn0035038,CG13588,CG13588,1639037_at,chr2R,20496500,20498024,14.4715,84.5172,21.8637,24.37,10.1896,11.0712
FBgn0035011,CG13589,CG13589,1638401_at,chr2R,20379737,20380378,0,0,0,0,0,0
FBgn0039753,CG1359,CG1359,1624380_at,chr3R,26006004,26006743,15.8333,10.6307,15.8608,27.6762,17.0912,18.061
FBgn0035012,CG13590,CG13590,1625498_at,chr2R,20380779,20381471,0,0,0,0,0,0
FBgn0035019,CG13592,CG13592,1637711_at,chr2R,20417140,20418720,0.0646737,0,0.064786,0,0,0
FBgn0035041,CG13594,CG13594,1630036_at,chr2R,20502944,20526110,0.423538,0.280983,1.13139,0.176573,4.65447,3.48383
FBgn0039124,CG13597,CG13597,1624694_at,chr3R,19717406,19719105,1.74678,90.5144,2.49973,0.18726,0,0
FBgn0039128,CG13599,CG13599,1634621_at,chr3R,19757365,19758451,20.4299,17.5536,14.176,14.5582,0.902907,0.301129
FBgn0033195,CG1360,CG1360,1636315_at,chr2R,3475277,3477611,7.16618,4.00047,5.31101,22.8513,1.46626,2.46463
FBgn0039126,CG13601,CG13601,1637559_at,chr3R,19752094,19753354,32.5808,24.7604,23.8901,61.0644,23.0627,21.8456
FBgn0039127,CG13602,CG13602,1634553_at//1630615_s_at//1628687_at,chr3R,19753450,19754722,0.481928,35.7288,2.89659,0.401832,0.161715,0
FBgn0039135,CG13603,CG13603,1630414_at,chr3R,19810935,19812291,25.9044,15.1751,21.7387,43.622,52.0561,48.5394
FBgn0039137,CG13604,CG13604,1625603_at,chr3R,19814528,19818638,12.0791,5.71355,9.05151,10.1082,7.99068,6.85732
FBgn0039150,CG13605,CG13605,1625284_at,chr3R,19935665,19938124,42.8436,36.1083,29.7307,40.271,21.8023,22.7169
FBgn0039161,CG13606,CG13606,1637880_at,chr3R,19998353,20009752,2.014,1.69585,74.4921,4.03025,105.505,78.332
FBgn0039151,CG13607,CG13607,1636170_at,chr3R,19939765,19941867,6.46654,1.64505,8.71819,0.778365,60.0555,49.4608
FBgn0039170,CG13609,CG13609,1627127_at,chr3R,20052508,20054263,3.43548,3.65052,2.68316,3.32088,1.05511,1.17296
FBgn0039177,CG13611,CG13611,1633687_at,chr3R,20105294,20107299,0.198029,134.398,0.0661243,0,0.398701,0.132971
FBgn0039193,CG13613,CG13613,1624654_at,chr3R,20190509,20192071,0,0.654769,0,0,0,0
FBgn0039194,CG13614,CG13614,1640095_at,chr3R,20195290,20196453,0,0,0,0,0,0
FBgn0039199,CG13615,CG13615,1636397_at,chr3R,20216314,20217449,0,3.47343,0,0,0.103345,0
FBgn0039200,CG13616,CG13616,1632362_at,chr3R,20218632,20219502,0,0.817278,0,0.273913,1.37793,1.2408
FBgn0039201,CG13617,CG13617,1630908_at,chr3R,20341317,20343759,2.67861,20.4513,1.57295,0.369671,0.41842,0.697739
FBgn0039203,CG13618,CG13618,1626789_at,chr3R,20350522,20353261,0.701022,0.398633,0.902879,0.100202,1.81466,1.21042
FBgn0039202,CG13622,CG13622,1623500_at,chr3R,20348312,20349130,0.374539,0,0.625315,0,0.879755,0.628732
FBgn0039205,CG13623,CG13623,1638216_at,chr3R,20355497,20356280,7.63686,22.9397,4.67507,10.7542,15.2333,15.9536
FBgn0039209,CG13624,CG13624,1636321_s_at,chr3R,20385002,20408577,36.1122,5.17842,33.4996,20.6892,34.8508,30.7159
FBgn0039210,CG13625,CG13625,1630397_at,chr3R,20408787,20410855,23.0295,2.85238,25.5943,26.6521,7.31315,9.65651
FBgn0039217,CG13627,CG13627,1640771_a_at,chr3R,20538506,20543145,0.0752662,0.112349,0.301587,0.0753083,0.492495,0.379044
FBgn0039219,CG13630,CG13630,#N/A,chr3R,20543657,20545084,99.3412,56.9368,58.5745,121.887,40.7453,46.1499
FBgn0040600,CG13631,CG13631,1639443_at,chr3R,20595075,20595850,13.1764,6.68725,36.9581,11.7336,48.5475,38.7526
FBgn0039221,CG13632,CG13632,1634221_at,chr3R,20601343,20601834,0.240021,0,0,0.480312,0.483246,0.241752
FBgn0039224,CG13634,CG13634,1628944_at,chr3R,20614072,20615512,0,0,0.0737413,0,0.296419,0.296577
FBgn0039232,CG13636,CG13636,1641738_a_at,chr3R,20659676,20666217,0.148116,7.71363,0.148373,23.3166,12.972,10.0947
FBgn0039237,CG13640,CG13640,1636000_at,chr3R,20687373,20687884,0,0,0.400104,0,8.64463,9.05152
FBgn0039239,CG13641,CG13641,1630561_at,chr3R,20689816,20690502,2.82785,0.592437,6.56007,0.297835,32.3627,43.1733
FBgn0040601,CG13643,CG13643,1641615_at,chr3R,20723855,20731723,0,0.46657,0.117417,0.078186,33.0781,21.2899
FBgn0039255,CG13646,CG13646,1633189_at,chr3R,20773354,20775261,0.258205,0.513895,0.38798,0.0645874,0.194946,0.260066
